platform,market_focus,media,domain_candidate,access_code,access_interpretation,evidence,desktop_chrome,extension_support,notes,source_urls,source_titles,research_date
NETTV Nepal,Pakistan Bangladesh Sri Lanka Nepal,Video,nettv.com.np,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,TV aggregator; carrier/subscription and desktop access need checking.,,,2026-09-06
DishHome GO,Pakistan Bangladesh Sri Lanka Nepal,Video,dishhome.com.np,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Provider TV candidate; not assumed free.,,,2026-09-06
Kantipur TV,Pakistan Bangladesh Sri Lanka Nepal,Video,kantipurtv.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Nepali broadcaster live/video candidate.,,,2026-09-06
Tencent Video,China,Video,v.qq.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Mainland service; separate from international WeTV; current free/paid ads need local verification.,,,2026-09-06
iQIYI China,China,Video,iqiyi.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Membership and advertising business confirmed; individual web ad formats not verified.,https://ir.iqiyi.com/,"Company Overview | iQIYI, Inc.",2026-09-06
Youku China,China,Video,youku.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Mainland service; verify local free/paid ad model.,https://www.alibabagroup.com/en-US/home,Alibaba Group Official Website,2026-09-06
YOUKU International,China,Video,youku.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Separate international site and language/rights catalog.,,,2026-09-06
Mango TV,China,Video,mgtv.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Mainland/international catalog differences and VIP ad exclusions need test.,,,2026-09-06
Bilibili China,China,Video,bilibili.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Advertising business is not proof of conventional pre-roll ads; treat sponsored feed/content separately.,https://ir.bilibili.com/media/0jzma4yo/report-of-foreign-issuer-rules-13a-16-and-15d-16.pdf,UNITED STATES,2026-09-06
Sohu Video,China,Video,tv.sohu.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Chinese free/paid video candidate.,,,2026-09-06
Migu Video,China,Video,miguvideo.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Sports and carrier-linked catalog; current tiers need verification.,,,2026-09-06
PP Video,China,Video,pptv.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Current active catalog/ownership/player need verification.,,,2026-09-06
Xigua Video,China,Video,ixigua.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Creator/long-form video candidate.,,,2026-09-06
Douyin,China,Video,douyin.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Short video/live/social commerce; feed ads differ from ad breaks.,,,2026-09-06
Kuaishou,China,Video,kuaishou.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Short video/live; browser experience differs from app.,,,2026-09-06
Huya,China,Video,huya.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Live-streaming and ad business confirmed; actual ad surface needs test.,https://ir.huya.com/,Huya Inc.-Investor Relations Home,2026-09-06
DouYu,China,Video,douyu.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,PC/mobile streaming and advertising business confirmed; live ad behavior unverified.,https://ir.douyu.com/Press-Releases/6a86c32bef90a235e9d8f471,DouYu Investor Relations,2026-09-06
TVer,Japan,Video,tver.jp,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official ad-funded free catch-up service; Japanese labels and territorial rights.,https://privacy.tver.jp/,TVerプライバシーガイド,2026-09-06
ABEMA,Japan,Video,abema.tv,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free content plus paid advertising-supported Premium documented; qualify each type separately.,https://help.abema.tv/hc/ja/articles/38856389251353-%E5%BA%83%E5%91%8A%E3%81%A4%E3%81%8DABEMA%E3%83%97%E3%83%AC%E3%83%9F%E3%82%A2%E3%83%A0%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6 ; https://help.abema.tv/hc/ja/articles/360013830391-%E3%81%A9%E3%81%AE%E3%82%88%E3%81%86%E3%81%AA%E6%9C%89%E6%96%99%E3%83%97%E3%83%A9%E3%83%B3%E3%81%8C%E3%81%82%E3%82%8A%E3%81%BE%E3%81%99%E3%81%8B,広告つきABEMAプレミアムについて – ABEMAヘルプ ; どのような有料プランがありますか？ – ABEMAヘルプ,2026-09-06
Niconico,Japan,Video,nicovideo.jp,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Creator video/live; current premium/ad rules need verification.,,,2026-09-06
Lemino,Japan,Video,lemino.docomo.ne.jp,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free/ad and Premium candidate; title eligibility and browser support need test.,,,2026-09-06
Locipo,Japan,Video,locipo.jp,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Regional commercial-broadcaster catch-up candidate.,,,2026-09-06
FOD,Japan,Video,fod.fujitv.co.jp,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free catch-up versus paid Premium; verify ads.,,,2026-09-06
Net mo TV Tokyo,Japan,Video,video.tv-tokyo.co.jp,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Broadcaster catch-up; deduplicate current TVer redirects/embeds.,,,2026-09-06
MBS Dōga-ism,Japan,Video,dizm.mbs.jp,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Regional broadcaster catch-up; check direct player versus TVer.,,,2026-09-06
Coupang Play,Korea Taiwan Hong Kong,Video,coupangplay.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official free-with-ads offer for Coupang members; WOW/pass entitlements separate.,https://play.coupang.com/en,Coupang Play,2026-09-06
TVING,Korea Taiwan Hong Kong,Video,tving.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid advertising-supported tier; TVING/Wavve bundles do not prove unified player.,https://www.tving.com/bill/subscription/plan?tab=plus ; https://www.tving.com/bill/subscription/plan?returnUrl=https%3A%2F%2Fwww.tving.com%2Flive%2FC51855,이용권 구독 ; TVING,2026-09-06
Wavve,Korea Taiwan Hong Kong,Video,wavve.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Bundled ad tier mentioned by TVING; verify standalone Wavve playback/plan.,https://www.tving.com/bill/subscription/plan?returnUrl=https%3A%2F%2Fwww.tving.com%2Flive%2FC51855,TVING,2026-09-06
